"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"Age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio.";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTimes60.89DaysPastDueNotWorse";"NumberOfDependents"
"60097";0;0.123235982;28;0;0.267294118;2124;3;0;0;0;1
"75710";1;0.585918477;54;0;3.041366906;1667;13;0;3;0;2
"1678";0;0.03839346;76;0;0.01371298;10500;11;0;0;0;0
"92711";0;0.020453616;48;0;0.471968709;2300;13;0;2;0;2
"45609";0;0.786612586;51;0;0.357556038;5531;6;0;0;0;0
"62273";0;0.668132747;34;1;0.51322986;6764;7;0;2;0;3
"105739";0;0.037230329;59;0;0.398977835;18000;17;0;4;0;2
"38614";0;0.002456112;69;0;0.001170503;5125;7;0;0;0;0
"5165";0;0.116990284;62;0;0.222879684;1520;5;0;0;0;1
"106840";0;0;74;0;0.546846665;4962;10;0;2;0;1
"28928";0;0;48;0;0.484402496;6250;11;0;2;0;2
"149489";0;0.117246352;37;0;0.391888649;8333;16;0;2;0;1
"3147";0;0.379208177;35;0;0.332945827;4300;7;0;1;0;1
"121551";0;0.29404615;60;0;0.240708224;6833;10;0;1;0;1
"51439";0;0.114548612;45;0;0.026949814;10500;12;0;0;0;0
"61048";0;0.355421591;73;0;0.569049271;4322;14;0;2;0;0
"66868";0;0.366015463;50;0;0.203476983;4083;5;0;0;0;1
"30118";0;0.9999999;77;0;0.213914434;2500;3;0;0;0;1
"30021";0;0.006276966;52;0;0.007915018;4800;10;0;0;0;0
"7421";0;1.00989901;51;0;0.894503054;1800;6;0;1;1;0
"74401";0;0.004773081;37;0;0.00145803;4800;7;0;0;0;0
"26408";0;0.008649935;66;0;0.177379561;7700;11;0;1;0;2
"113170";0;0.606717088;42;0;0.316537298;7600;7;0;2;0;2
"21623";0;0.011559209;51;0;0.001606856;5600;5;0;0;0;1
"138373";0;0.008805851;62;0;1667;0;20;0;1;0;0
"85233";0;0.044953524;77;0;0.382902939;3368;9;0;0;0;0
"58031";0;0.212264597;32;0;0.087685915;25750;10;0;1;0;3
"130672";0;0.011940089;58;0;0.187389131;6200;8;0;1;0;1
"56156";0;0.150971778;53;0;0.465404613;7500;8;0;3;0;0
"124307";0;0.012785096;89;0;0.004052959;3700;16;0;0;0;0
"57754";0;0.128798279;59;1;1.254631454;2536;17;0;2;1;0
"73627";0;0.9999999;52;1;0.00439956;10000;5;0;0;0;3
"10388";0;0.120125157;65;0;0.21863819;18166;6;0;1;0;0
"41408";0;0.265117038;54;0;0.336702532;9200;14;0;3;0;1
"147451";0;0.701263525;32;0;0.621104185;4491;23;0;1;0;0
"21285";0;0.207545482;48;0;0.207960773;10400;11;0;1;0;0
"131553";0;0.263143813;44;0;0.320533973;6666;11;0;2;0;3
"96063";0;0.468256261;51;0;0.13722701;11950;11;0;2;0;4
"44518";0;0.162247449;40;0;940;0;9;0;2;0;0
"24320";0;0.024023951;76;0;0.361106482;6000;16;0;2;0;1
"48780";0;0.742965195;31;0;0.435634744;2244;9;0;0;0;4
"53749";0;0.526739751;75;0;0.196934355;3000;3;0;0;0;1
"137124";0;0;63;0;0.151732146;10333;12;0;2;0;0
"25094";0;0.318442358;48;0;0.261485826;8183;11;0;1;0;2
"69447";0;0.027585256;44;0;0.106986627;8000;3;0;1;0;2
"125745";0;0.068769134;67;0;0.291585421;6666;13;0;2;0;3
"135441";0;0.9999999;26;0;0.086956522;2000;2;0;0;1;0
"103157";0;0.387332077;73;1;0.372664597;19000;8;0;3;0;0
"47256";0;0.003646451;59;0;0.090818197;6000;7;0;0;0;1
"120734";0;0.854145854;47;0;0.094952524;2000;2;0;0;0;1
"40071";0;0.038686661;65;0;0.186816016;7766;20;0;2;0;0
"89918";0;0;40;0;0.199304056;8333;16;0;1;0;0
"15361";0;0.075495391;64;1;0.500595096;4200;16;0;1;0;0
"62209";0;0.017999357;51;0;0.002908562;5500;7;0;0;0;1
"48924";0;0.009466036;39;0;0.505070704;7000;3;0;1;0;1
"104377";0;0.045673858;89;0;0.085731729;11465;7;0;1;0;0
"113105";0;0.02521303;64;0;0.014616322;3283;18;0;0;0;0
"37708";0;0.04598133;45;0;0.180606465;3000;13;0;0;1;0
"34356";0;0.22781297;76;0;0.778296227;7500;17;0;3;0;0
"60353";0;0.888223553;43;2;10.95150961;2185;5;2;0;0;4
"7290";0;0.031610864;61;0;0.003752345;3730;2;0;0;0;2
"113475";0;0.063448777;35;0;286;1;2;0;1;0;2
"170";0;0.771845631;33;0;0.852429514;5000;7;0;3;0;0
"900";0;0.3882572;45;0;1.112942122;4975;13;0;4;0;1
"44715";1;0.0649594;40;0;0.06482253;6000;6;2;0;0;3
"105002";0;0.729196148;71;0;0.542329302;10500;13;0;1;0;0
"76395";0;0.137801247;59;0;0.202879232;3750;6;0;1;0;2
"538";0;0.086635409;40;0;887;0;8;0;1;0;1
"49722";0;0.286461719;70;0;0.151453435;5400;10;1;0;0;0
"107688";0;0.9999999;54;0;0;8166;2;0;0;0;1
"81314";0;0.063742713;37;0;0.51354131;2916;4;0;1;0;1
"36433";0;0.783610968;47;0;0.381865413;8083;12;0;1;0;0
"55298";0;0.000554714;80;0;0.000185151;5400;9;0;0;0;0
"1417";0;0.10835629;63;0;0.005165806;6000;3;0;0;0;0
"76181";0;0.451598194;63;0;1.086381801;3252;13;0;2;0;4
"136854";0;0.14574834;63;0;0.017994002;3000;2;0;0;0;1
"95444";0;0.085465899;45;0;0.261961821;12100;11;0;2;0;1
"31526";0;0.270461931;69;1;0.545151616;3000;11;0;0;0;0
"51660";0;0;46;2;1.234213672;9200;22;0;9;0;2
"118582";0;0.013749313;74;0;0.109375;2367;6;0;0;0;0
"84504";0;0.0447359;61;0;0.057328237;11250;4;0;0;0;2
"83131";0;0.169073386;47;0;0.376874375;3000;17;0;1;1;0
"101160";0;1.043900581;41;1;0.427596405;8790;7;0;2;0;1
"87808";0;0.053813857;47;0;0.336878466;11000;14;0;2;0;3
"88363";0;0.052532876;46;0;0.167652696;12000;11;0;1;0;3
"99613";1;0.529132499;46;3;0.278266051;13425;15;0;1;1;1
"84839";0;0.000731115;68;0;0.599333611;2400;10;0;1;0;0
"105784";0;0.065831014;44;0;0.387357553;10266;18;0;2;0;1
"24125";0;0.08843033;64;0;0.327217125;4577;5;0;1;0;0
"72889";0;0.00644197;65;0;0.168473728;4795;8;0;2;0;1
"140905";1;0.876650321;25;0;0.025081788;2750;2;0;0;1;0
"26223";0;0;45;0;0.113005051;4751;9;0;1;0;0
"89573";0;0.015591475;80;0;35;0;12;0;0;0;0
"78404";0;0.73714092;35;2;0.360292536;4648;7;0;1;0;1
"21843";1;0.9999999;67;1;0.205887799;5400;5;2;1;0;3
"122223";0;0.939197406;41;0;0.330119442;6948;7;4;0;3;4
"92416";0;0.983844701;41;4;0.192458695;12225;20;1;0;4;2
"34834";0;0.052475979;70;0;0.014394242;2500;10;0;0;0;0
"69012";0;0.059158421;54;0;0.292084342;5785;10;0;1;0;2
"33039";0;0.597302671;51;0;0.312645462;11600;5;0;2;0;3
"145670";0;0.045070206;41;0;0.334494774;6600;15;0;2;0;0
"49710";0;0.326345281;46;1;0.034281796;2916;2;0;0;0;2
"75253";0;0.028032399;60;0;0.286182593;6100;7;0;1;0;0
"36603";0;0.007188711;66;0;0.167603085;10500;18;0;1;0;0
"71521";0;0.066423827;37;0;0.335184979;9000;5;0;1;0;0
"82139";0;0.870614855;63;0;0.697532262;8833;13;0;3;0;1
"30006";0;0.073634132;46;0;0.444150344;5666;9;0;1;0;3
"100241";0;0.039073963;79;1;0.137045337;5800;7;0;0;0;0
"51911";0;0.186331364;39;0;0.903287829;5200;20;0;3;0;1
"147763";0;0.057597696;88;0;0.025739645;3379;12;0;0;0;0
"21101";0;0.638312444;45;1;0.04603469;9166;6;0;0;0;0
"136714";0;0.038736389;66;0;0.50069735;5018;7;0;1;0;0
"83939";0;0.022998673;77;0;0.215729838;4500;12;0;1;0;0
"141412";0;0.005785301;56;0;0.44744618;2368;3;0;1;0;0
"10341";0;0.220718472;53;0;0.68705036;1945;9;0;1;0;0
"74597";0;0.197974424;49;0;1.071464268;2000;9;0;1;0;0
"119651";0;0.516551093;49;0;0.256842895;8000;9;0;2;0;4
"116816";0;0.02515242;65;0;0.148497689;10383;7;0;2;0;0
"3495";0;0.227325756;53;0;0.082487196;11128;19;0;0;0;0
"17650";0;0.100985573;46;0;0.285875229;7100;5;0;1;0;0
"55792";0;0.038169837;37;0;0.380065256;9500;7;0;1;0;1
"101842";0;0.08824068;60;0;0.152638976;12807;6;0;1;0;1
"64733";0;0.007623822;58;0;0.222355529;5000;18;0;1;0;0
"147431";0;0.334007967;57;0;0.321993746;10552;10;0;2;0;0
"18024";0;0.002452801;48;0;0.341872203;10500;20;0;1;0;0
"6150";0;0.020076259;24;0;0.640682095;820;6;0;0;0;0
"9093";0;0.035799284;76;0;0.050572519;1047;10;0;0;0;0
"87726";0;0.071278315;52;0;0.33323815;3501;8;0;1;0;1
"59214";0;0;39;0;0;6466;1;0;0;0;2
"148862";0;0.770486953;47;1;0.323645206;8635;8;0;1;0;1
"81917";0;0.596568652;63;0;0.660874519;7020;15;0;3;0;0
"7919";0;0.184653035;33;0;0.560846561;1700;12;0;2;0;1
"36063";0;0.000735761;53;0;0;4129;3;0;0;0;0
"85312";0;0.040184988;29;0;0.002849858;6666;3;0;0;0;0
"64742";0;0.9999999;33;2;0.429633494;7666;5;0;2;0;1
"10346";0;0.036658258;91;0;48;0;5;0;0;0;1
"123818";0;0.084459837;31;1;0.30578977;3557;6;0;1;1;5
"124435";0;0.213345123;54;0;0.536800785;8151;13;0;2;0;1
"27809";0;0.069866467;34;0;0.629592602;4000;18;0;1;0;0
"90401";0;0.752095993;44;0;0.032684658;9300;7;0;0;0;3
"138019";0;0.017539513;60;0;0.3303785;7106;10;0;2;0;0
"112903";0;0.278899751;41;0;0.392525589;4200;6;0;1;0;3
"134892";1;0.444700145;39;0;0.751809479;4282;12;0;1;0;3
"66609";0;0.190777079;39;0;0.352771778;4166;7;0;0;0;1
"88327";0;0.037124695;54;0;0.075127013;9250;9;0;1;0;2
"52938";0;0.289972318;40;0;0.132486751;10000;8;0;0;0;2
"32739";0;0.188763052;77;0;0.225297962;2600;9;0;0;0;0
"139269";0;0.898023678;27;2;0.336992596;7833;6;0;1;0;3
"76851";0;0.243196915;51;0;0.113364951;17500;9;0;1;0;2
"25547";0;3.275905119;33;0;0.034649198;5800;6;0;0;0;2
"105874";0;0.291690642;67;0;0.527547272;7350;16;0;1;0;1
"58741";0;0.09495023;62;0;0.341329335;2000;3;0;1;0;1
"107775";0;0.034269035;62;0;0.186349128;8145;9;0;1;0;0
"125108";0;0.047273571;75;0;0.351027086;5500;18;0;1;0;1
"125845";0;0.00663201;46;0;0.925009035;5533;8;0;1;0;4
"83097";0;0.021355081;62;0;0.156768002;14900;8;0;2;0;0
"75683";0;0.179101026;63;0;0.36443926;6000;13;0;2;0;0
"35871";0;0.528235882;32;0;0.264635603;1673;4;0;0;0;0
"58395";0;0.984413293;37;4;0.239956172;5475;8;1;0;1;2
"94091";0;0;57;0;0.795587011;2401;9;0;2;0;0
"148957";0;0.438070184;63;0;0.304975728;8239;5;0;1;0;1
"93542";0;0.555420957;56;2;0.411129373;4258;7;1;2;1;0
"63586";0;0;68;0;0.164458885;4000;9;0;0;0;1
"10634";0;0.033695814;63;0;0.006380345;10500;13;0;0;0;0
"89269";0;0.740129218;44;0;0.182204449;4000;5;0;0;0;3
"64561";0;0;75;0;0;675;3;0;0;0;0
"32557";0;0.639361516;73;0;0.257248964;7000;8;0;2;0;0
"41347";0;0.9999999;22;0;0;0;0;0;0;0;0
"3037";0;0.072348385;71;0;0.01219878;10000;4;0;0;0;0
"128585";0;0.886845262;34;0;0.319611879;3400;5;0;0;0;0
"99478";0;0.139906729;22;0;0.014962594;400;2;0;0;0;0
"26080";0;0;62;0;0.509516709;11400;12;0;4;0;2
"25804";0;0.055622242;47;1;0.158778829;7500;16;0;0;0;3
"100628";0;0.092627943;69;0;0.189952512;4000;4;0;0;0;0
"63403";0;0.951744376;46;0;0.649131159;4200;5;0;2;0;1
"111633";1;0.208120329;58;0;0.189450095;5800;11;0;0;0;1
"43200";0;0.854845806;65;1;0.305525353;10116;6;0;0;0;0
"52926";0;0.489139179;34;1;0.061764232;6200;3;0;0;0;1
"16738";0;0.198082096;45;1;0.106402618;11916;15;0;0;0;0
"109936";0;0.026348683;89;0;0.002038043;7359;5;0;0;0;0
"63654";0;0.476118173;41;0;0.158068238;6066;13;0;0;1;2
"11289";0;0.731570737;67;0;1.210263246;3000;6;0;1;0;0
"90134";0;0.328133405;53;0;0.458017385;10813;20;0;3;0;1
"72976";0;0.106057474;40;0;0.112149533;3316;7;0;0;0;3
"98911";0;0.510881188;39;3;3.702552719;900;25;0;1;0;0
"130510";0;0.54251227;36;0;1.630842289;4000;24;0;3;0;0
"118443";0;0.012666244;85;0;164;0;8;0;0;0;0
"94470";0;0.159059507;49;0;0.430329129;3250;14;0;0;0;0
"54266";0;0.146277356;27;0;0.302854779;2416;5;0;0;0;0
"64757";0;0.036724094;62;0;0.189493731;6300;21;0;2;0;2
"52881";0;0.340258502;54;0;0.955121084;4500;12;0;1;0;1
"1821";0;0.350847689;47;0;0.43258377;11250;9;0;2;0;3
"141513";0;0.451117108;44;2;0.751612419;6666;12;0;4;2;0
"29825";0;0.346631408;42;2;0.626393084;9600;22;0;3;0;3
"130673";1;0.9999999;60;1;0.090753717;5850;7;0;1;0;2
"13390";0;0.198767881;68;0;0.320963088;10050;16;0;2;0;0
"40832";0;0.474153082;51;0;0.25423383;4900;5;0;1;0;2
"76390";0;0.007527345;48;0;0.306982264;15166;12;0;1;0;2
"130249";0;0;84;0;0;2500;7;0;0;0;0
"85934";0;0.187795495;54;0;0.829271341;8000;12;0;3;0;3
"123440";0;0.053770283;83;0;0.006528633;5360;5;0;0;0;1
"24632";0;0.147370111;50;1;0.23633678;8800;14;0;4;0;3
"122174";0;0.135376891;51;0;1.328268693;2500;6;0;1;0;2
"142072";0;0.929535232;50;1;0.686286051;1698;6;0;0;0;0
"3173";0;0.013317765;58;1;0.231096074;12708;12;0;3;0;2
"33065";0;0.109725493;50;0;0.665439411;6246;11;0;1;0;3
"137853";0;0.9999999;35;0;0.098469177;2416;2;0;0;0;0
"71738";1;0.826092953;48;1;0.322590515;9804;8;3;1;1;2
"51079";0;0.070844687;49;1;0.524319066;3083;2;1;1;0;0
"42815";0;0.108191439;31;0;0.274952015;2083;6;0;0;0;0
"52595";0;0.034758402;36;0;0.158390866;7531;11;0;0;0;1
"56075";0;0.287770672;62;0;0.23927432;21000;10;0;2;0;0
"74749";1;0.9999999;50;2;0.128019783;5256;1;0;0;1;0
"58390";0;1.00519896;40;0;0.054497454;5302;2;0;0;0;0
"142908";0;0.175972442;60;1;0.007664971;14350;6;0;0;0;1
"82126";0;0.025886219;52;0;0.14484509;11425;9;0;1;0;2
"47562";0;0.237862438;75;0;0.142296019;5600;15;0;0;0;1
"24867";0;0.869042363;62;0;0.453103553;6556;11;0;1;0;0
"93320";0;0.485906544;82;0;0.417064439;1675;3;0;0;0;0
"137065";0;0.004652282;67;0;0.06931023;3000;7;0;0;0;0
"55801";0;0.211293041;38;1;0.803173531;5923;10;0;4;0;1
"125417";1;0.061301627;40;1;0.854557641;4475;9;0;2;0;4
"80420";0;0.408649462;44;0;0.531997963;5890;11;0;2;0;2
"96718";0;0.064204107;61;0;1.291623578;2900;12;0;4;0;1
"107402";0;0.069707823;59;0;0.341019873;10667;10;0;2;0;1
"140286";0;0.043766847;72;0;0.342705405;3200;6;0;1;0;0
"43996";0;0.021391863;52;0;0.301131617;13166;8;0;2;0;0
"93885";0;0.001409992;39;0;0.28238823;7000;11;0;2;0;2
"35999";0;0.9999999;40;0;244.5;1;4;0;0;0;0
"70906";0;0.090785456;54;0;0.616973154;10168;15;0;2;0;2
"64793";0;0.285699211;41;0;0.456127194;6666;21;0;2;0;0
"18839";0;0.103438636;75;0;0.306303804;3600;4;0;1;0;1
"26543";0;0.18264457;55;0;0.37525355;1971;9;0;1;0;0
"149754";0;0.747738777;34;0;0.599500416;1200;12;0;0;2;0
"124316";0;0.795668819;28;2;0.358129962;3400;10;0;0;0;0
"41487";0;0;47;0;0.27837773;12500;6;0;2;0;2
"50816";0;0;43;0;1.5119976;3333;10;0;1;0;3
"72366";0;0.00365146;60;3;0.14137738;3571;11;0;1;2;0
"12976";0;0.49261278;59;0;0.273714791;15833;13;0;1;0;2
"118511";0;0.261226668;62;1;0.838589981;2694;13;0;0;0;1
"63432";0;0.112044398;42;0;0.274800812;6400;5;0;2;0;0
"12904";0;0.378481986;57;1;0.55921504;7286;12;0;1;0;2
"39891";0;0.114055372;38;0;0.292531339;9492;8;0;2;0;3
"134229";0;0.114464916;43;0;0.277103271;7000;5;0;1;0;0
"18308";0;0.615712569;43;0;0.065057992;7500;10;1;0;0;0
"128245";0;0.084583083;63;0;0.135117704;3100;17;0;1;0;0
"24988";0;0.138908542;27;0;0.038756196;2218;9;0;0;0;0
"92943";0;0.476195626;62;0;0.266834171;13929;18;0;1;0;1
"138503";0;0.368657564;49;3;0.414998754;12040;7;0;2;0;1
"44624";0;0.327210171;53;1;0.509440621;11333;13;0;2;0;2
"63407";0;0.45406344;49;0;0.534669431;4340;12;0;1;0;0
"2375";0;0.023681718;62;0;0.451478551;2400;7;0;3;0;0
"6597";0;0.13757412;59;0;0.195808157;10591;8;0;2;0;0
"94377";0;0.93854877;37;0;0.817302526;1860;8;0;0;0;1
"105522";0;0.144058919;58;0;0.2335968;10500;12;0;1;0;0
"71580";0;0.046021728;77;0;0.006570803;10500;8;0;0;0;0
"3003";1;0.014867443;45;0;0.006124234;8000;6;0;0;0;0
"133777";0;0.390832183;44;0;0.292353823;2000;2;0;0;0;3
"118503";0;0.810536288;42;2;0.079904002;14166;6;0;0;0;1
"99588";0;0;48;0;1.633733239;2833;5;0;1;0;2
"109972";0;0.9999999;22;0;0;929;1;0;0;0;0
"130450";0;0.03869425;58;0;0.210309536;8011;12;0;1;0;0
"121358";0;0.80166576;47;0;0.586494234;15000;20;0;2;0;1
"48456";0;0.184619651;69;0;0.140619793;3000;6;0;0;0;1
"55521";0;0.011349811;77;0;0.68377912;2317;7;0;1;0;0
"27936";0;0.632615876;64;0;0.629939429;10400;18;0;1;0;1
"32481";0;0.014389497;65;0;0.316670832;4000;23;0;1;0;2
"143546";0;0.976265024;24;0;0.891891892;850;4;0;0;0;0
